Acabo de tener un buen dia,1
Que increible es mi vida estoy muy feliz,1
La vida siempre te demuestra que hay razones para mirarla de forma alegre,1
Me siento triste,0
Por favor matenme,0
Me vales madres,0
Ya callate,0
Eres lo que mas amo,1
Yo no te quiero,0
Creo que la vida es muy aburrida,0
Renovar es bueno,1
Sal de aqui,0
Es demasiado comodo,1
Te amo eres el amor de mi vida,1
Siempre amate como eres,1
No te amo ,0
Baboso,0
Pendejo,0
Lo secuetraron fue horrible,0
Me robaste el corazon ,1
Me robaron en a calle,0
Hay que ser autentico,1
Siempre has sido muy molesto,0
No estes triste amigo,0
Eres mi mejor amigo,1
Muy guapo,1
Heriste mi coraon y mis sentimientos,0
Haces florar mis sentimientos,1
Vamos a ponernos una peda,1
Se puso pedo,0
Que malacopa eres,0
Mala copa ,0
Se la paso em el hospital,0
Estoy enfermo ,0
No viniste nunca más por aquí,0
Me maltratas,0
Destruiste mi juguete,0
Te quiero mucho,1
Dame un beso,1
Quiero que no te falte nada,1
Eres mi luz,1
Perdiste,0
Ganaste,1
Ganador,1
Te voy a escribir la cancion mas bonita del mundo ,1
Siempre logras todo lo que te cumples,1
Me sacaste una sonrista,1
Triste porque te perdi,0
Suicidio es la mejor opcion que existe,0
Dormir contigo es muy comodo,1
Tu cama es muy comoda ,1
No seas huevon,0
La destruccion del mundo es lo peor que nos puede pasar,0
La comida es deliciosa,1
La musica es vida,1
Esta musica me pone triste,0
La extraño tanto,0
Me quiero casa con ella,1
Ella es mi todo,1
Lo amo,1
Casate conmigo ,1
Este noviazgo fue toxico,0
Se quemo y esta en el hospital ,0
La internaron en el hospital,0
Ella ama su profesion ,1
Ya no te quiero,0
Luz de mi vida,1
Mi trabajo es agoviante,0
Depresivo y agotado,0
Mataste a el perro,0
El atropello una persona,0
El hirio a un amigo,0
Mi amigo no me perdona,0
Extraño a mis papas,0
Los papas nos dan amor,1
Siempre he querido a mis papas,1
Mi hermana es la mejor,1
Me querio dormir pensando en ella ,1
No lo haga compa ,0
Los memes son muy divertidos,1
Vivi un caso de extorsion ,0
Esas son puras mentiras,0
Estoy confundido,0
Soy un gordo,0
Quierete tal y como eres,1
Deberias dejar de ser tan ojete ,0
Eres muy mamon,0
Mi mama me dijo tonto,0
Ella me quiere mucho ,1
Soy un galan ,1
El agua es vida ,1
La tolerancia es respeto,1
El respeto al derecho ageno es la paz,1
Intenta vivir en paz contigo mismo ,1
Perro,1
Gato ,1
Eres un gato ,0
Eres un perro ,0
Musica y alcohol lo unico que se necesita,1
Murio de sobredosis de alcohol,0
Si te amo pero lo nuestro no puede pasar mi papa te odia y te mataria,0
Amo tu capacidad de arruinar todo lo que te propones,0
Me haces enojar demasiado pero siempre logras ponerme de buen humor ,1
Hay que permancer unidos como familia,1
La familia siempre te entendera ,1
Mi perro hace mucho ruido no me gusta,0
Quiero que te calles ,0
El bebe no nos dejo dormir toda la noche ,0
Un bebe siempre puede aegrar tu vida si llega a tiempo ,1
Se me antojan unos taquitos ricos,1
Mataron a mi hijo,0
Luis me cae mal,0
Me duele el estomago ,0
El cancer y el sida son enfermedades,0
Me cure de mi endermedad,1
Ya van a curar el sida,1
La vida es bella,1
Destruir la voluntad de un hombre es los peor,0
No juegues con los sueños de las personas,0
Hola amigo mio,1
Siempre saluda a tu enemigo,0
Amor y pasion ,1
La voluntad mueve montañas,1
Derechos humanos,1
Bienestar y salud,1
Oscuridad y maldad,0
El y su malevolo plan ,0
Los vicios ocultos de el ,0
Tiene muchos negocios y bienestar,1
Su objetivo es tu felicidad,1
Animate la vida sigue,1
Hay que manterner el buen humor,1
Se encuentra de mal humor,0
Tuvimos una noche romantica que fue muy apasionada que termino en sexo,1
Soledad,0
Depresion,0
Adicciones a las drogas,0
Ella es divertida y muy buena onda,1
Le deseo el bien a todos ,1
Te odio tanto ,0
Solo existe dolor en mi corazon y vacio,0
Hay que matarlos a todos,0
Debastacion y destruccion en todos lados ,0
No existe el amor ,0
Estoy triste,0
Nadie me quiere,0
Soy un inutil,0
Nadie me desteja mis logros ,0
No los necesito,0
Putos todos,0
Porque mis pensamientos tristes siempre vencen a mis pensamientos felices,0
Mi perro es mi mejor amigo,1
Dormir siempre ayuda,1
Me dejo por otro,0
Vivi engañado,0
La verdad es que cuando naci los doctores creyeron que ya estaba muerto,0
Resulta que al final puedes contar en tu familia,1
Un cafe en la mañana eso es lo que necesito para despertar alegre,1
Odio a la gente ue se siente superior solo porque tienen dinero,0
Ellos no sirven para nada,0
Los politicos son unos inutiles,0
Capitalismo,1
Socialismo,0
La hambruna existente en Venezuela es escalofriante,1
Un buen meme en la mañana te puede hacer el dia ,1
Ante la presencia de millones de personas se inclino y agradecio el gesto,1
Rapido eficaz y sin problemas muchas gracias,1
"El servicio a domicio tarde 4 horas, en serio?",0
Rico te verde,1
"Cuando escucho mis audifonos escucho un sonido muy molesto, eso siempre arruina mi musica",0
La comida pudo haber estado mejor,0
"Los meseros eran groseros, no vuelvo a ese lugar",0
El equipo de mis amores gano no podria estar mas feliz,1
Enrealidad no esperaba mucho de ustedes y aun asi lograron darme un mal servicio,0
El personal una basura,0
Fuerza y esperanza,1
La gente dice pura mierda todos los dias,0
Escapa de este oscuro lugar ,0
Que envidia me dan ,0
Solamente deja ser a las personas ,1
Todos son felices siempre y cuando logres sus metas y se sientan utiles,1
Porque ella no me ama,0
No existe total felicidad per una vez en cuanto es suficiente para darse cuenta que este planeta no es tan malo,1
